Id,Title,Author,Genre,Purchase,Member
796,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,10/07/2017,
797,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,13/07/2017,
798,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/07/2017,
799,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,16/08/2017,
800,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,31/08/2017,
801,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,05/09/2017,
802,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/09/2017,
803,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,18/09/2017,
804,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,18/09/2017,FAOU
805,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,25/09/2017,
806,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,30/09/2017,
807,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,22/10/2017,
808,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,30/10/2017,
809,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,04/11/2017,FAVT
810,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,14/11/2017,
811,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,16/11/2017,
812,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,17/11/2017,
813,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,19/11/2017,
814,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,25/11/2017,
815,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,25/11/2017,FAOU
816,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,27/11/2017,
817,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,30/11/2017,
818,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,20/12/2017,CHUA
819,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,24/12/2017,
820,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,03/01/2018,ENUC
821,It,Stephen King,Fantasy;Fiction;Horror,08/01/2018,
822,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,18/01/2018,
823,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,24/01/2018,
824,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,27/01/2018,
825,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/01/2018,
826,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,29/01/2018,
827,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,29/01/2018,
828,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,02/02/2018,
829,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,13/02/2018,
830,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,14/02/2018,
831,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,23/02/2018,
832,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,26/02/2018,SSVD
833,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,20/03/2018,ENOK
834,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,21/03/2018,
835,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,31/03/2018,
836,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/04/2018,
837,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,08/04/2018,
838,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,11/04/2018,
839,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,04/05/2018,
840,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,06/05/2018,
841,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/05/2018,
842,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,22/05/2018,
843,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,30/05/2018,
844,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,01/06/2018,
845,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,23/06/2018,
846,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,30/07/2018,
847,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,10/08/2018,BIBN
848,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,15/08/2018,
849,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,16/08/2018,
850,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,25/08/2018,
851,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,27/08/2018,
852,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,16/10/2018,
853,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,22/10/2018,
854,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,06/11/2018,
855,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,08/11/2018,
856,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,17/11/2018,
857,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,26/11/2018,
858,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,27/11/2018,
859,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,27/11/2018,
860,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,02/12/2018,
861,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,05/12/2018,
862,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,09/12/2018,
863,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,10/12/2018,
864,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,15/12/2018,GEXP
865,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,17/12/2018,
866,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,03/01/2019,
867,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,10/01/2019,
868,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,17/01/2019,
869,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,25/01/2019,
870,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,06/02/2019,
871,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,11/02/2019,
872,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,18/02/2019,
873,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,20/02/2019,
874,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,04/03/2019,
875,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,04/03/2019,
876,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,24/03/2019,
877,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,31/03/2019,
878,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,05/04/2019,
879,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,19/04/2019,
880,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,24/04/2019,
881,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,25/04/2019,
882,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,27/04/2019,
883,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,05/05/2019,
884,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,06/05/2019,
885,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,20/05/2019,
886,It,Stephen King,Fantasy;Fiction;Horror,06/06/2019,
887,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,19/06/2019,
888,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,08/07/2019,
889,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,09/07/2019,
890,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,02/08/2019,
891,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,04/08/2019,
892,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,28/08/2019,CHQK
893,It,Stephen King,Fantasy;Fiction;Horror,31/08/2019,
894,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,05/09/2019,
895,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,12/09/2019,
896,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,24/09/2019,
897,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/09/2019,
898,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,02/10/2019,
899,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,04/10/2019,
900,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,12/10/2019,
901,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,21/10/2019,
902,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,23/10/2019,
903,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,27/10/2019,
904,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,16/11/2019,
905,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/12/2019,
906,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,07/12/2019,
907,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy;Fiction;Young Adult,13/12/2019,
908,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,16/12/2019,
909,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,20/12/2019,COVN
910,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,22/12/2019,
911,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,24/12/2019,
912,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,04/01/2020,MABC
913,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,06/01/2020,
914,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,13/01/2020,
915,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,25/01/2020,MAGP
916,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,30/01/2020,
917,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,06/02/2020,
918,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,11/02/2020,
919,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,19/02/2020,
920,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,21/02/2020,
921,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,01/03/2020,
922,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,03/03/2020,MADP
923,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,03/03/2020,
924,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,11/03/2020,
925,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,29/03/2020,
926,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,31/03/2020,
927,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,01/04/2020,CHBZ
928,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,02/04/2020,
929,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,20/04/2020,
930,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,24/04/2020,
931,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,09/05/2020,
932,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,15/05/2020,
933,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,20/05/2020,
934,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,31/05/2020,
935,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,01/06/2020,
936,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,06/06/2020,
937,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,14/06/2020,
938,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,16/06/2020,
939,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,19/06/2020,
940,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,24/06/2020,
941,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,12/07/2020,MAVW
942,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,18/07/2020,
943,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,26/07/2020,
944,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,31/07/2020,MADP
945,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,02/08/2020,
946,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,10/08/2020,
947,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,18/08/2020,MAZY
948,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/08/2020,
949,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy;Fiction;Young Adult,24/08/2020,
950,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,10/09/2020,
951,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,13/09/2020,
952,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,24/09/2020,
953,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,29/09/2020,
954,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,16/10/2020,
955,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,17/10/2020,
956,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,25/10/2020,CORF
957,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,23/11/2020,
958,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,03/12/2020,
959,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,03/12/2020,
960,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,04/12/2020,SSNA
961,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,14/12/2020,
962,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,20/12/2020,CHCX
963,The Boy in the Striped Pajamas,John Boyne,Fiction;Historical;Historical Fiction;Holocaust;World War II;Young Adult,23/12/2020,
964,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,07/02/2021,
965,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,10/02/2021,
966,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,22/02/2021,SSJM
967,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,25/02/2021,
968,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,27/02/2021,
969,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,17/03/2021,
970,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,18/03/2021,
971,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,29/03/2021,
972,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,01/04/2021,
973,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,09/04/2021,
974,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,18/04/2021,BIHH
975,It,Stephen King,Fantasy;Fiction;Horror,20/04/2021,MAGP
976,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,07/05/2021,
977,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,07/05/2021,
978,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,12/05/2021,FAGC
979,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,28/05/2021,
980,A Game of Thrones,George R.R. Martin,Epic Fantasy;Fantasy;Fiction,06/06/2021,
981,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,07/06/2021,
982,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,21/06/2021,
983,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,30/06/2021,
984,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,09/07/2021,COHD
985,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,29/07/2021,
986,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,31/07/2021,
987,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,13/08/2021,
988,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,28/08/2021,
989,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,29/08/2021,
990,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,31/08/2021,
991,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,02/09/2021,
992,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,03/09/2021,FAUZ
993,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,03/09/2021,
994,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,05/09/2021,
995,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,10/09/2021,
996,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,18/09/2021,
997,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,20/09/2021,
998,Watership Down,Richard  Adams,Animals;Classics;Fantasy;Fiction;Young Adult,21/09/2021,
999,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,28/09/2021,
1000,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,02/10/2021,
1001,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,02/10/2021,
1002,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,26/10/2021,
1003,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,14/11/2021,
